duration
1637
439
473
547
603
416
6122
229
193
3488
121
1690
1104
1108
307
821
66
53
1264
198
436
230
845
1742
92
245
3465
xZyzWjyj1Vc
173
657
65
1935
300
998
590
1007
185
322
133
358
114
1149
207
1330
161
101
1725
417
1847
211
144
268
3592
887
3492
4670
311
200
3605
305
638
522
230
2276
231
2224
165
1646
247
1269
253
444
3265
232
#NAME?
447
659
599
281
1153
136
721
86
66-taZ4DrpE
239
313
546
206
708
381
112
2359
1034
7944
702
354
966
439
1683
2988
1099
422
92
96
234
656
246
73
482
1477
#NAME?
131
170
3300
721
164
1317
176
577
748
400
161
460
610
165
163
142
215
28
751
268
201
332
1370
185
395
626
130
972
138
340
81
377
373
1360
73
406
161
795
827
98
458
615
498
828
231
463
1702
963
#NAME?
478
317
472
4344
664
387
338
2433
581
2439
1907
732
417
4029
319
76
1047
2275
tNFEKyyYptc
1966
3951
8635
60
194
321
297
4250
3842
614
1032
308
193
118
413
652
123
1568
289
541
89
512
605
320
O1FOQiVQRxc
465
754
278
175
470
307
211
59
754
241
169
43
108
345
449
4245
502
179
346
177
808
547
266
625
202
428
456
232
62
2598
304
212
241
4670
172
619
1173
5kcwqYQrOFY
1361
425
#NAME?
756
61
538
327
372
234
2506
310
178
69
167
611
287
295
3683
142
350
1006
3601
134
213
293
92
177
136
1195
921
15
345
1879
95
235
1337
352
1098
7489
899
7
224
451
441
158
3457
2790
200
50
930
1077
1578
160
64
176
157
200
564
2163
173
1421
5375
805
1117
492
529
128
353
17
477
1557
280
57
361
442
533
718
672
61
597
2080
32
657
216
1014
515
1705
4149
170
421
1160
1023
819
580
5677
118
308
160
1177
618
256
259
1237
#NAME?
1009
474
296
745
2596
32
511
3551
1124
300
97
615
1416
897
134
1083
1108
105
936
290
184
1263
170
1003
131
1056
1101
3681
229
262
135
445
8171
1135
1020
154
1075
1535
1078
3632
995
1146
514
H7o-GY0nIgw
669
2923
134
996
568
139
209
3358
148
304
170
233
1425
952
541
207
204
1272
253
408
3692
3301
308
220
214
1390
247
192
3779
176
28852
226
3683
302
741
191
358
3694
757
63
1085
160
43
644
202
7255
1807
1361
543
77
190
142
1185
2221
275
287
1100
3628
#NAME?
158
3657
114
349
290
10801
1692
1090
1160
1827
93
95
74
1312
1081
3041
314
130
54
5670
1311
255
33
200
60
265
132
1136
Z9VR_tJANuY
157
934
86
237
410
725
472
1310
344
129
103
3680
1021
1251
1423
131
1042
147
389
1020
1195
178
4149
32
1093
238
1310
106
1756
276
132
1105
912
122
80
818
#NAME?
3855
146
3627
2425
77
956
71
1408
1277
599
3669
215
616
85
106
2780
#NAME?
1105
FnojfJRhcjM
239
89
218
l0n4NsO1UCQ
1578
797
748
dC4VIkeq-Ac
2341
